id,title,description,organization_id,created_by,status,parameters_json,budget_range,created_at,updated_at,close_reason,closed_at,contact_email,contact_name,contact_phone,contact_visible,expected_delivery_date,published_at,quantity,quantity_unit,category_id
984c9002-e100-4eb5-8c3c-de5e21777b8f,Test:发动机缸盖,缸盖检查:5寸显示屏，2.8mm探头，长度1米,60e379fa-cb34-4af8-bcac-9b67be521464,54d2ddfb-63b2-4502-9c1a-c655836e3c93,CLOSED,,20000,2026-08-23 23:27:41.983,2026-08-23 23:30:52.848,,2026-08-23 23:30:52.847,test01@buyer.com,张工,18920260001,t,2026-09-30 00:00:00,2026-08-23 23:30:28.077,2,套,
d00a51c0-7518-4b8f-935f-c6e18a1b8099,Test: 发动机缸体检测-2套-工业内窥镜,"数量：2套
主要参数：大屏台式显示器，3.9mm直径管线，长度2米",60e379fa-cb34-4af8-bcac-9b67be521464,54d2ddfb-63b2-4502-9c1a-c655836e3c93,CLOSED,,60000,2026-08-23 23:33:11.443,2026-08-23 23:33:23.425,,2026-08-23 23:33:23.424,,,,f,2026-09-30 00:00:00,2026-08-23 23:33:17.897,2,套,
6eb094ed-918c-4bf4-930c-028a68913bc6,DEMO_可视化E2E_需求_1788279750024,,8b0e7521-b98b-42ab-8005-4f32f0063551,85859ce9-59ad-eceb-c27d-030075546f42,DRAFT,,,2026-09-01 16:22:47.398,2026-09-01 16:22:47.398,,,,,,t,,,3,台,
e154ba6f-542a-4acc-b172-0713bedace8e,TEST/E2E/807 高精度三维扫描仪采购需求,受控E2E验证需求，验证后清理。[TEST/E2E/807],8b0e7521-b98b-42ab-8005-4f32f0063551,85859ce9-59ad-eceb-c27d-030075546f42,PUBLISHED,,"80,000-120,000 元",2026-09-02 15:59:19.15,2026-09-02 15:59:19.257,,,demo.buyer.01@visndt.local,张检测,,f,,2026-09-02 15:59:19.256,1,台,9ff5f3df-c21b-454d-b885-259f8539a94a
7a5c7a8e-73fb-461e-909c-a168601078db,TEST/E2E/807 高精度三维扫描仪采购需求,受控E2E验证需求，验证后清理。[TEST/E2E/807],8b0e7521-b98b-42ab-8005-4f32f0063551,85859ce9-59ad-eceb-c27d-030075546f42,PUBLISHED,,"80,000-120,000 元",2026-09-02 16:02:11.222,2026-09-02 16:02:11.311,,,demo.buyer.01@visndt.local,张检测,,f,,2026-09-02 16:02:11.31,1,台,9ff5f3df-c21b-454d-b885-259f8539a94a
d6d8b4f7-a6de-420f-8ff1-1c2010584d6f,TEST/E2E/807 高精度三维扫描仪采购需求,受控E2E验证需求，验证后清理。[TEST/E2E/807],8b0e7521-b98b-42ab-8005-4f32f0063551,85859ce9-59ad-eceb-c27d-030075546f42,PUBLISHED,,"80,000-120,000 元",2026-09-02 16:04:27.289,2026-09-02 16:04:27.377,,,demo.buyer.01@visndt.local,张检测,,f,,2026-09-02 16:04:27.376,1,台,9ff5f3df-c21b-454d-b885-259f8539a94a
e0672785-9e4e-4d61-8b48-454f0e1a6f33,TEST/E2E/807 高精度三维扫描仪采购需求,受控E2E验证需求，验证后清理。[TEST/E2E/807],8b0e7521-b98b-42ab-8005-4f32f0063551,85859ce9-59ad-eceb-c27d-030075546f42,PUBLISHED,,"80,000-120,000 元",2026-09-02 16:10:10.407,2026-09-02 16:10:10.496,,,demo.buyer.01@visndt.local,张检测,,f,,2026-09-02 16:10:10.494,1,台,9ff5f3df-c21b-454d-b885-259f8539a94a
ea2ed4ab-ee86-4305-889d-3605067bc114,UXB-:验证采购需求(自动化内窥检测),受控UI自动化测试需求，验证Buyer需求创建闭环,8b0e7521-b98b-42ab-8005-4f32f0063551,85859ce9-59ad-eceb-c27d-030075546f42,PUBLISHED,,,2026-09-04 03:20:52.768,2026-09-04 03:21:13.79,,,demo.buyer.01@visndt.local,UX Buyer,,t,,2026-09-04 03:21:13.788,1,套,bce3336c-ec10-4dca-a71d-78aec866c993
dc55ed68-04e4-415e-976a-2fdce73710e0,UXR-823:自动化需求分类预算持久化复核,受控UI审计用需求：验证分类与预算在保存→详情→刷新后的持久化显示,8b0e7521-b98b-42ab-8005-4f32f0063551,85859ce9-59ad-eceb-c27d-030075546f42,DRAFT,,15000-30000,2026-09-04 04:34:13.953,2026-09-04 04:34:13.953,,,demo.buyer.01@visndt.local,UX买家823,,t,,,2,套,bce3336c-ec10-4dca-a71d-78aec866c993
4fb3ae72-e90c-45b7-891f-41e6a3e63da8,[TEST DATA] 841-WP6 Buyer Loop 1788695243970,[TEST DATA] controlled buyer loop,60e379fa-cb34-4af8-bcac-9b67be521464,54d2ddfb-63b2-4502-9c1a-c655836e3c93,CLOSED,,100000-300000,2026-09-06 11:47:29.969,2026-09-06 11:47:35.384,841 WP-6 controlled buyer loop demonstrated,2026-09-06 11:47:35.383,,841 Buyer,,f,,2026-09-06 11:47:30.021,10,台,bce3336c-ec10-4dca-a71d-78aec866c993
